id;brand;nome;nome_normalizzato;ean;codice_prodotto;prezzo_unitario;nome_normalizzato_gs1;note
1;Reckitt;Calgon 4in1 gel 750ml;Calgon 4 in 1 Power Gel Anticalcare Lavatrice 750 ml;8002910063405;;;Calgon Power Gel 4in1 Anticalcare lavatrice 750 ml;Prodotto trovato su GS1
2;Reckitt;Calgon 4in1 gel 1500ml;Calgon 4 in 1 Power Gel Anticalcare Lavatrice 1500 ml;8002910063658;;;Calgon Power Gel 4in1 Anticalcare lavatrice 1500 ml;Prodotto trovato su GS1
3;Reckitt;Calgon Igiene+ 750ml;Calgon Igiene+ Gel Anticalcare e Igienizzante Lavatrice 750 ml;8002910063597;;;Calgon Igiene+ Gel Anticalcare disinfettante lavatrice 750 ml;Prodotto trovato su GS1
4;Reckitt;Calgon Igiene+ 1500ml;Calgon Igiene+ Gel Anticalcare e Igienizzante Lavatrice 1500 ml;8002910063573;;;Calgon Igiene+ Gel Anticalcare disinfettante lavatrice 1500 ml;Prodotto trovato su GS1
5;Reckitt;Calgon 4in1 tabs 15 pezzi;Calgon 4 in 1 Powerball Tabs Anticalcare Lavatrice 15 pezzi;8002910063931;;;Calgon Power Tabs 4in1 Anticalcare lavatrice 15 Tabs 195 gr;Prodotto trovato su GS1
6;Reckitt;Calgon 4in1 gel 2250ml;Calgon 4 in 1 Power Gel Anticalcare Lavatrice 2250 ml;8002910063634;;;Calgon Power Gel 4in1 Anticalcare lavatrice 2250 ml;Prodotto trovato su GS1
7;Reckitt;Calgon 4in1 tabs 30 pezzi;Calgon 4 in 1 Powerball Tabs Anticalcare Lavatrice 30 pezzi;8002910063535;;;Calgon Power Tabs 4in1 Anticalcare lavatrice 30 Tabs 390 gr;Prodotto trovato su GS1
8;Reckitt;Calgon 4in1 polvere 900grammi;Calgon 4 in 1 Power Polvere Anticalcare Lavatrice 900 g;8002910064433;;;Calgon Original Power Polvere 4in1 Anticalcare lavatrice 900 gr;Prodotto trovato su GS1
9;Reckitt;Calgon Igiene+ 2250ml;Calgon Igiene+ Gel Anticalcare e Igienizzante Lavatrice 2250 ml;8002910063672;;;Calgon Igiene+ Gel Anticalcare disinfettante lavatrice 2250 ml;Prodotto trovato su GS1
10;Reckitt;Calgon 4in1 polvere 1800 grammi;Calgon 4 in 1 Power Polvere Anticalcare Lavatrice 1800 g;8002910064419;;;Calgon Original Power Polvere 4in1 Anticalcare lavatrice 1,8 kg;Prodotto trovato su GS1
11;Reckitt;Calgon 4in1 gel 1200ml;Calgon 4 in 1 Power Gel Anticalcare Lavatrice 1200 ml;8002910066093;;;Calgon Gel Anticalcare Lavatrice 1,2 L;Prodotto trovato su GS1
12;Reckitt;Calgon gel Natura+ 750ml;Calgon Natura+ Gel Anticalcare Lavatrice 750 ml;8002910064396;;;Calgon Natura+ Gel Anticalcare lavatrice 750 ml;Prodotto trovato su GS1
13;Reckitt;Sole Bianco Splendente_29D;Sole Detersivo Lavatrice Liquido Bianco Splendente 29 Lavaggi;8002910029203;;;Sole Detersivo lavatrice Bianco Splendente 29 lavaggi 1,305 L;Prodotto trovato su GS1
14;Reckitt;Sole Proteggi Colore_29D;Sole Detersivo Lavatrice Liquido Proteggi Colore 29 Lavaggi;8002910029289;;;Sole Detersivo lavatrice Proteggi Colore 29 lavaggi 1,305 L;Prodotto trovato su GS1
15;Reckitt;Sole Potere Smacchiante_29D;Sole Detersivo Lavatrice Liquido Potere Smacchiante 29 Lavaggi;8002910029265;;;Sole Detersivo lavatrice Potere Smacchiante 29 lavaggi 1,305 L;Prodotto trovato su GS1
