id;brand;nome;nome_normalizzato;ean;codice_prodotto;prezzo_unitario
1;p&g;PANTENE BIP.SH.1IN1 LISCI EFF.SETA 2X225;Pantene Pro-V Bipacco Shampoo 2in1 Lisci Effetto Seta 2x225ml;8700216297950;;
2;p&g;PANTENE BIP.SH.1IN1 RIGEN.&PROTEG. 2X225;Pantene Pro-V Bipacco Shampoo 2in1 Rigenera & Protegge 2x225ml;8700216297929;;
3;p&g;PANTENE LUNGHEZZE INFINITE MASCHERA X6PZ;Pantene Pro-V Maschera Lunghezze Infinite;8006540849989;;
4;p&g;PNT 3MM LISCI&SETOSI 150ML X6PZ;Pantene Pro-V Balsamo 3 Minute Miracle Lisci Effetto Seta 150ml;8001841636047;;
5;p&g;PNT 3MM RICCI PERFETTI 150ML X6PZ;Pantene Pro-V Balsamo 3 Minute Miracle Ricci Perfetti 150ml;8001841635958;;
6;p&g;PNT 3MM RIG&PROT 150ML X6PZ;Pantene Pro-V Balsamo 3 Minute Miracle Rigenera & Protegge 150ml;8001841636016;;
7;p&g;PNT BAL 3MM LISCI EFF.SETA 2X150ML X6PZ;Pantene Pro-V Bipacco Balsamo 3 Minute Miracle Lisci Effetto Seta 2x150ml;8001841783611;;
8;p&g;PNT BAL 3MM RIGEN.&PROTEGGE 2X150ML X6PZ;Pantene Pro-V Bipacco Balsamo 3 Minute Miracle Rigenera & Protegge 2x150ml;8001841798233;;
9;p&g;PNT BAL LINEA CLASSICA 2X180ML X6PZ;Pantene Pro-V Bipacco Balsamo Linea Classica 2x180ml;8001841783673;;
10;p&g;PNT BAL LISCI EFFETTO SETA 2X180ML X6PZ;Pantene Pro-V Bipacco Balsamo Lisci Effetto Seta 2x180ml;8001841783734;;
11;p&g;PNT BAL RICCI PERFETTI 2X180ML X6PZ;Pantene Pro-V Bipacco Balsamo Ricci Perfetti 2x180ml;8001841783703;;
12;p&g;PNT BAL RIGEN.&PROTEGGE 2X180ML X6PZ;Pantene Pro-V Bipacco Balsamo Rigenera & Protegge 2x180ml;8001841783772;;
13;p&g;PNT BALS LINEA CLASSICA 180ML X6PZ;Pantene Balsamo Linea Classica 180 ml;8001841584584;;
14;p&g;PNT BALS LISCI EFFETTO SETA 180ML X6PZ;Pantene Balsamo Lisci Effetto Seta 180 ml;8001841584645;;
15;p&g;PNT BALS LISCI&SETOSI 600ML X6PZ;Pantene Balsamo Lisci & Setosi 600 ml;8001841574233;;
16;p&g;PNT BALS LUNGH INFINITE 180ML X6PZ;Pantene Balsamo Lunghezze Infinite 180 ml;8006540849941;;
17;p&g;PNT BALS RICCI PERFETTI 180ML X6PZ;Pantene Balsamo Ricci Perfetti 180 ml;8001841584553;;
18;p&g;PNT BALS RIGENERA&PROTEGGE 180ML X6PZ;Pantene Balsamo Rigenera e Protegge 180 ml;8001841584614;;
19;p&g;PNT BALS RIGENERA&PROTEGGE 600ML X6PZ;Pantene Balsamo Rigenera e Protegge 600 ml;8001841574042;;
