id;brand;nome;nome_normalizzato;ean;codice_prodotto;prezzo_unitario
1;J&J;CAREFREE ALOE 30 PZ;Carefree Salvaslip con Aloe Vera 30 Pezzi;3574660243406;;
2;J&J;CAREFREE ALOE 20 PZ;Carefree Salvaslip con Aloe Vera 20 Pezzi;3574660224849;;
3;J&J;CAREFREE ALOE RIPIEGATO 30 PZ;Carefree Salvaslip con Aloe Vera Ripiegati 30 Pezzi;3574660039573;;
4;J&J;CAREFREE ALOE 56 PZ;Carefree Salvaslip con Aloe Vera 56 Pezzi;3574661552804;;
5;J&J;CAREFREE FLORAL BOUQUET 20 PZ;Carefree Salvaslip con Profumo Floreale 20 Pezzi;3574660468885;;
6;J&J;CAREFREE COTTON 56 PZ;Carefree Salvaslip Cotton Feel con Estratto di Cotone 56 Pezzi;3574661548883;;
7;J&J;CAREFREE NORMAL COTTON FRESH 100;Carefree Salvaslip Cotton Feel Fresh Scent 100 Pezzi;3574661690360;;
8;J&J;CAREFREE COTTON 44 PZ;Carefree Salvaslip Cotton Feel con Estratto di Cotone 44 Pezzi;3574660067682;;
9;J&J;CAREFREE FLEXIFORM WHITE 30 PZ;Carefree Salvaslip Flexiform White 30 Pezzi;3574660097009;;
10;J&J;CAREFREE FLEXIFORM WHITE 56 PZ;Carefree Salvaslip Flexiform White 56 Pezzi;3574661554884;;
11;J&J;CAREFREE PLUS LONG 24 PZ;Carefree Salvaslip Plus Long 24 Pezzi;3574660550184;;
12;J&J;CAREFREE PLUS LARGE 36 PZ;Carefree Salvaslip Plus Large 36 Pezzi;3574661487601;;
13;J&J;CAREFREE PLUS LARGE 48 PZ;Carefree Salvaslip Plus Large 48 Pezzi;3574661487663;;
14;J&J;CAREFREE ORGANIC 30 PZ;Carefree Salvaslip 100% Cotone Biologico 30 Pezzi;3574661651507;;
15;J&J;CAREFREE ORGANIC PLUS LONG 24;Carefree Salvaslip Plus Long 100% Cotone Biologico 24 Pezzi;3574661651545;;
16;J&J;O.B. PROCOMFORT MINI 16 PZ;o.b. Assorbenti Interni ProComfort Mini 16 Pezzi;4001683011426;;
17;J&J;O.B. PROCOMFORT NORMAL 16 PZ;o.b. Assorbenti Interni ProComfort Normal 16 Pezzi;3574660240009;;
18;J&J;O.B. PROCOMFORT SUPER 16 PZ;o.b. Assorbenti Interni ProComfort Super 16 Pezzi;3574660239881;;
19;J&J;O.B. O.B. PROCOMFORT SUPER PLUS 16 PZ;o.b. Assorbenti Interni ProComfort Super Plus 16 Pezzi;3574660362794;;
20;J&J;O.B. 100% COTONE BIOLOGICO NORMAL 16 PZ;o.b. Assorbenti Interni 100% Cotone Biologico Normal 16 Pezzi;3574661610900;;
21;J&J;O.B. 100% COTONE BIOLOGICO SUPER 16 PZ;o.b. Assorbenti Interni 100% Cotone Biologico Super 16 pezzi;3574661610962;;
22;J&J;O.B. PROCOMFORT MINI 32 PZ;o.b. Assorbenti Interni ProComfort Mini 32 pezzi;4001683011525;;
23;J&J;O.B. PROCOMFORT NORMAL 32 PZ;o.b. Assorbenti Interni ProComfort Normal 32 pezzi;3574660240030;;
24;J&J;O.B. PROCOMFORT SUPER 32 PZ;o.b. Assorbenti Interni ProComfort Super 32 pezzi;3574660239911;;
