id;brand;nome;nome_normalizzato;ean;codice_prodotto;prezzo_unitario;nome_normalizzato_gs1;note
1;P&G;iOM9.1B2.2ADH FBNLSENOR BK PLBox PTHBR- B0F1G94CQV;Oral-B iO Series 9S Spazzolino Elettrico Ricaricabile, Nero;;;;;Codice prodotto mancante
2;P&G;iOM9.2B2.2AD FBNLSENOR BK PLBox PTHBR- B0F1G7NT7D;Oral-B Spazzolino Elettrico Ricaricabile iO 10 Nero, 1 Spazzolino Elettrico, 1 Testina, Custodia Da Viaggio, io 10 Edizione Limitata, Per Una Pulizia Denti Efficace, Sensore di Pressione;;;;;Codice prodotto mancante
3;P&G;OB POW IO10BK TC DESIGN X1PZ- B0CQZ1HTBT;Oral-B Spazzolino Elettrico Ricaricabile iO 10 Nero, 1 Spazzolino Elettrico, 1 Testina, Custodia Da Viaggio, io 10 Edizione Limitata, Per Una Pulizia Denti Efficace, Sensore di Pressione;;;;;Codice prodotto mancante
4;P&G;OB PW iO10 BLACK + 1xOBP PE PROT PROF- B0F2J6YFF8;Oral-B Spazzolino Elettrico Ricaricabile iO 10 Nero, 1 Spazzolino Elettrico, 1 Testina, Custodia Da Viaggio Ricaricabile + Dentifricio Oral-B Pro Expert, Per Una Pulizia Denti Efficace;;;;;Codice prodotto mancante
5;P&G;OB PW iO9 SIOC + 1xOBP PE PROT PROF - B0F2J8WQR6;Oral-B Spazzolino Elettrico Ricaricabile iO 9 Nero, 1 Spazzolino Elettrico, 3 Testine Di Ricambio, Custodia Da Viaggio con caricatore + Dentifricio Oral-B Pro Expert, Pulizia Denti Efficace;;;;;Codice prodotto mancante
6;P&G;OB PW iO9 BLACK + 1X OBP PE SENSI- B0F2J7YL4N;Oral-B Spazzolino Elettrico Ricaricabile iO 9N Bianco, 1 Spazzolino Elettrico, 2 Testine Di Ricambio, Custodia Da Viaggio con caricatore + Dentifricio Oral-B Pro-Expert, Pulizia Denti Efficace;;;;;Codice prodotto mancante
7;P&G;iO9 DUO black+rose- B0B6GM2431;Oral-B Spazzolino Elettrico Ricaricabile iO 9 Nero e Rosa, 2 Spazzolino Elettrico Oral B, 3 Testine Di Ricambio, 1 Custodia Da Viaggio Ricaricabile, Confezione Doppia, 2 Spazzolini;;;;;Codice prodotto mancante
8;P&G;iO10 WHITE SIOC NEW- B0D5D3HT5S;Oral-B Spazzolino Elettrico Ricaricabile iO 10 Bianco, 3 Testine, 1 Custodia Da Viaggio Ricaricabile, 1 Spazzolino;;;;;Codice prodotto mancante
9;P&G;iO10 Series Plus Cosmic Black- B0B5B1DMG3;Oral-B Spazzolino Elettrico Ricaricabile iO 10 Nero, 3 Testine Oral B, Spazzolino Elettrico, 1 Custodia Da Viaggio Ricaricabile, Pulizia Denti Efficace;;;;;Codice prodotto mancante
10;P&G;OB PW iO10 BLACK + 1xOBPurif- B0C7CR1K5R;Oral-B Spazzolino Elettrico Ricaricabile iO 10 Nero + 1 Testina, 1 Custodia Da Viaggio ricaricabile, 1 Caricatore iO Sense, 1 Spazzolino + Dentifricio Protezione Gengive Pulizia Profonda 75ml;;;;;Codice prodotto mancante
