id;brand;nome;nome_normalizzato;ean;codice_prodotto;prezzo_unitario;nome_normalizzato_gs1;note
1;P&G;IO Series iOG3.1A6.1D 1CT 1;Oral-B iO Gentle Care Testina di Ricambio White 1 Pezzo;8006540730751;;;;Prodotto non trovato su GS1
2;P&G;IOM6.2I6.1DK FBNLSENOR LR BOX PTHBR;Oral-B iO Series 6 Spazzolino Elettrico Sand Pink;4210201445173;;;;Prodotto non trovato su GS1
3;P&G;IOM6.2I6.1DK FBNLSENOR WT BOX PTHBR;Oral-B iO Series 6 Spazzolino Elettrico White;4210201445210;;;;Prodotto non trovato su GS1
4;P&G;IOM6.2Q6.2DK FBNLSENOR BK BOX;Oral-B iO Series 6 Spazzolino Elettrico Black;4210201445135;;;;Prodotto non trovato su GS1
5;P&G;IOM7.2Q2.2BD FBNLSENOR BK BOX PTHBR;Oral-B iO Series 7 Spazzolino Elettrico Black;4210201408505;;;;Prodotto non trovato su GS1
6;P&G;IOM8.2Q2.2BD FBNLSENOR BK BOX PTHBR;Oral-B iO Series 8 Spazzolino Elettrico Black;4210201408611;;;;Prodotto non trovato su GS1
7;P&G;IOM9.2Q2.2AD FBNLSENOR BK PLBOX PTHBR;Oral-B iO Series 9 Spazzolino Elettrico Black;4210201408680;;;;Prodotto non trovato su GS1
8;P&G;OB DEN PE SENSIBILITÀ 75ML;Oral-B Professional Dentifricio Sensibilità e Gengive Calm 75 ml;8700216676298;;;;Prodotto non trovato su GS1
9;P&G;OB DENT ADV PREV TARTARO MICROG 75ML;Oral-B Advanced Dentifricio Prevenzione Tartaro 75 ml;8700216675932;;;;Prodotto non trovato su GS1
10;P&G;OB DENT ADV PREVENZ TARTARO 125ML;Oral-B Advanced Dentifricio Prevenzione Tartaro 125 ml;8700216675734;;;Oral-B Advanced Dentifricio Prevenzione Tartaro Microgranuli Attivi 125 ml;Prodotto trovato su GS1
11;P&G;OB DENT ADV PREVENZIONE TARTARO 2X75ML;Oral-B Advanced Dentifricio Prevenzione Tartaro 2x75 ml;8700216675604;;;Oral-B Advanced Dentifricio Prevenzione Tartaro Microgranuli Attivi 2 x 75 ml;Prodotto trovato su GS1
12;P&G;OB DENT ADV PREVENZIONE TARTARO 75ML;Oral-B Advanced Dentifricio Prevenzione Tartaro 75 ml;8700216676557;;;;Prodotto non trovato su GS1
13;P&G;OB DENT ADV PROTEZ. SENSIBILITÀ  75ML;Oral-B Advanced Dentifricio Protezione Gengive e Smalto Sensibilità 75 ml;8700216675826;;;;Prodotto non trovato su GS1
14;P&G;OB DENT ADV PROTEZIONE GENGIVE 2X75ML;Oral-B Advanced Dentifricio Protezione Gengive 2x75 ml;8700216676038;;;Oral-B Advanced Dentifricio Protezione Gengive Menta Fresca 2 x 75 ml;Prodotto trovato su GS1
15;P&G;OB DENT ADV PROTEZIONE GENGIVE 75ML;Oral-B Advanced Dentifricio Protezione Gengive 75 ml;8700216675789;;;;Prodotto non trovato su GS1
16;P&G;OB DENT ADV PROTEZIONE SBIANCANTE 75ML;Oral-B Advanced Dentifricio Protezione Sbiancante 75 ml;8700216675864;;;;Prodotto non trovato su GS1
17;P&G;OB DENT ADV RIG SMALTO EXT. FRESH 75ML;Oral-B Advanced Dentifricio Rigenera Smalto Extra Fresh 75 ml;8700216675703;;;;Prodotto non trovato su GS1
18;P&G;OB DENT ADV RIGENERA SMALTO 2X75ML;Oral-B Advanced Dentifricio Rigenera Smalto 2x75 ml;8700216675994;;;Oral-B Advanced Dentifricio Rigenera Smalto Menta 2 x 75 ml;Prodotto trovato su GS1
19;P&G;OB DENT ADV RIGENERA SMALTO X125ML;Oral-B Advanced Dentifricio Rigenera Smalto 125 ml;8700216676229;;;Oral-B Advanced Dentifricio Rigenera Smalto Menta 125 ml;Prodotto trovato su GS1
20;P&G;OB DENT ADV RIGENERA SMALTO X75ML;Oral-B Advanced Dentifricio Rigenera Smalto 75 ml;8700216676199;;;;Prodotto non trovato su GS1
21;P&G;OB DENT CLINICAL PROTEZIONE CARIE 75ML;Oral-B Dentifricio Clinical Protezione Carie 75 ml;8700216676359;;;;Prodotto non trovato su GS1
22;P&G;OB DENT G&S REP CLASSICO 2X 75ML;Oral-B Dentifricio Gengive & Smalto Repair Classico 2 x 75 ml;8006540447772;;;Oral-B Dentifricio Repair Gengive e Smalto Classico 2 x 75 ml;Prodotto trovato su GS1
23;P&G;OB DENT JUNIOR 6-12 ANNI 75ML X12PZ;Oral-B Dentifricio Junior 6-12 Anni 75 ml;8700216089418;;;Oral-B Pro Junior 6-12 Dentifricio al Fluoro 75 ml;Prodotto trovato su GS1
24;P&G;OB DENT KIDS 0-6 ANNI 50ML X12PZ;Oral-B Dentifricio Kids 3+ Anni 50 ml;8700216089449;;;Oral-B Pro-Kids da 6 Mesi a 6 Anni Dentifricio al Fluoro 50 ml;Prodotto trovato su GS1
25;P&G;OB DENT PE ADV EXTRA SB 4X75ML X1PZ;Oral-B Dentifricio Pro-Expert Advanced Extra Sbiancante 4 x 75 ml;8700216184250;;;;Prodotto non trovato su GS1
26;P&G;OB DENT PE ADV EXTRA SBIANC 75ML X12PZ;Oral-B Dentifricio Pro-Expert Advanced Extra Sbiancante 75 ml;8006540999882;;;Oral-B Dentifricio Pro-Expert Advanced Extra Sbiancante 75 ml;Prodotto trovato su GS1
27;P&G;OB DENT PE ADV PUL PROF 2X75ML X16PZ;Oral-B Dentifricio Pro-Expert Advanced Pulizia Profonda 2 x 75 ml;8700216189255;;;Oral-B Dentifricio Pro-Expert Advanced Pulizia Profonda 2 x 75 ml;Prodotto trovato su GS1
28;P&G;OB DENT PE ADV PUL PROFONDA 75ML X12PZ;Oral-B Dentifricio Pro-Expert Advanced Pulizia Profonda 75 ml;8006540999936;;;Oral-B Dentifricio Pro-Expert Advanced Pulizia Profonda 75 ml;Prodotto trovato su GS1
29;P&G;OB DENT PE FRESCO INTENSO 75ML;Oral-B Dentifricio Pro-Expert Fresco Intenso 75 ml;8700216676441;;;Oral-B Pro-Expert Dentifricio Fresco Intenso 75 ml;Prodotto trovato su GS1
30;P&G;OB DENT PE PROT PROF 2X75ML X16PZ;Oral-B Dentifricio Pro-Expert Protezione Professionale 2 x 75 ml;8700216189170;;;Oral-B Dentifricio Pro-Expert Protezione Professionale 2 x 75 ml;Prodotto trovato su GS1
31;P&G;OB DENT PE PROTEZIONE PROFES 75ML X12PZ;Oral-B Dentifricio Pro-Expert Protezione Professionale 75 ml;8700216000093;;;Oral-B Dentifricio Pro-Expert Protezione Professionale 75 ml;Prodotto trovato su GS1
32;P&G;OB DENT PE PROTEZIONE PROFESS 75ML;Oral-B Dentifricio Pro-Expert Protezione Professionale 75 ml;8700216676045;;;;Prodotto non trovato su GS1
33;P&G;OB DENT PE PROTEZIONE PROFESS. 2X75ML;Oral-B Dentifricio Pro-Expert Protezione Professionale 2 x 75 ml;8700216676267;;;Oral-B Pro-Expert Dentifricio Protezione Professionale 2 x 75 ml;Prodotto trovato su GS1
34;P&G;OB DENT PE PROTEZIONE PROFESSION. 125ML;Oral-B Dentifricio Pro-Expert Protezione Professionale 125 ml;8700216676427;;;Oral-B Pro-Expert Dentifricio Protezione Professionale 125 ml;Prodotto trovato su GS1
35;P&G;OB DENT PE PULIZ PROF 5X75ML X1PZ;Oral-B Dentifricio Pro-Expert Pulizia Profonda 5 x 75 ml;8700216184168;;;;Prodotto non trovato su GS1
36;P&G;OB DENT PE PULIZIA PROFONDA 75ML X12PZ;Oral-B Dentifricio Pro-Expert Pulizia Profonda 75 ml;8700216000253;;;Oral-B Dentifricio Pro-Expert Pulizia Profonda 75 ml;Prodotto trovato su GS1
37;P&G;OB DENT PE SBIAN DELICATO 2X75ML;Oral-B Dentifricio Pro-Expert Sbiancante Delicato 2 x 75 ml;8700216676090;;;Oral-B Pro-Expert Dentifricio Sbiancante Delicato 2 x 75 ml;Prodotto trovato su GS1
38;P&G;OB DENT PE SBIAN SANO 2X75ML X16PZ;Oral-B Dentifricio Pro-Expert Sbiancamento Sano 2 x 75 ml;8700216189224;;;Oral-B Dentifricio Pro-Expert Sbiancante Sano 2 x 75 ml;Prodotto trovato su GS1
39;P&G;OB DENT PE SBIAN SANO 5X75ML X1PZ;Oral-B Dentifricio Pro-Expert Sbiancamento Sano 5 x 75 ml;8700216184199;;;;Prodotto non trovato su GS1
40;P&G;OB DENT PE SBIANCANTE DELICATO 75ML;Oral-B Dentifricio Pro-Expert Sbiancante Delicato 75 ml;8700216676519;;;;Prodotto non trovato su GS1
41;P&G;OB DENT PE SBIANCANTE SANO 75ML X12PZ;Oral-B Pro-Expert Sbiancante Sano Dentifricio 75 ml;8700216000130;;;Oral-B Dentifricio Pro-Expert Sbiancante Sano 75 ml;Prodotto trovato su GS1
42;P&G;OB DENT PE SENSIBILITÀ 125ML;Oral-B Pro-Expert Protezione Professionale Dentifricio 125 ml;8700216676397;;;Oral-B Pro-Expert Dentifricio Sensibilità 125 ml;Prodotto trovato su GS1
43;P&G;OB DENT PE SENSIBILITÀ 2X75ML;Oral-B Pro-Expert Sensibilità e Gengive Sollievo Delicato Dentifricio 2x75 ml;8700216676137;;;Oral-B Pro-Expert Dentifricio Sensibilità 2 x 75 ml;Prodotto trovato su GS1
44;P&G;OB DENT PRO-REPAIR SB DEL 4X75ML;Oral-B Gengive & Smalto Pro-Repair Sbiancante Delicato Dentifricio 4x75 ml;8006540933435;;;;Prodotto non trovato su GS1
45;P&G;OB DENT PROTEZION GEN PUL PRO 2X 75ML;Oral-B Gengive Purify Pulizia Profonda Dentifricio 2x75 ml;8006540652541;;;Oral-B Dentifricio Protezione Gengive e Scudo Antibatterico* Pulizia Profonda 2 x 75 ml;Prodotto trovato su GS1
46;P&G;OB DENT PS ADV CALM CLASSICO 100ML X24PZ;Oral-B Pro-Science Advanced Sensibilità e Gengive Calm Classico Dentifricio 100 ml;8006540285336;;;;Prodotto non trovato su GS1
