id;brand;nome;nome_normalizzato;ean;codice_prodotto;prezzo_unitario;nome_normalizzato_gs1;note
1;C&P;AJAX APC CLASSIC 1x12x950ML RTS I;Ajax Detergente Pavimenti Classico 950 ml;8718951600379;;;;Prodotto non trovato su GS1
2;C&P;AJAX APC CLASSIC 1x12x1230ML I;Ajax Detergente Pavimenti Classico 1230 ml;8718951600430;;;Ajax detersivo pavimenti Classico igiene e freschezza 1,23 L;Prodotto trovato su GS1
3;C&P;AJAX APC CLASSIC 1x12x1250ML MUP I;Ajax Detergente Pavimenti Classico 1250 ml;8718951607378;;;Ajax detersivo pavimenti Classico igiene e freschezza 1,25 L;Prodotto trovato su GS1
4;C&P;Ajax BDC Classico 1X6x1.9L;Ajax Detergente con Candeggina Classico 1.9 L;8718951627895;;;Ajax detersivo pavimenti Classico igiene e freschezza 1,9 L;Prodotto trovato su GS1
5;C&P;AJAX APC LEMON GRN 1x12x950ML I;Ajax Detergente Pavimenti Limone Verde 950 ml;8718951600461;;;Ajax detersivo pavimenti Limone ultra sgrassante 950 ml;Prodotto trovato su GS1
6;C&P;AJAX APC LEMON GRN 1x12x1230ML I;Ajax Detergente Pavimenti Limone Verde 1230 ml;8718951600126;;;Ajax detersivo pavimenti Limone ultra sgrassante 1,23 L;Prodotto trovato su GS1
7;C&P;AJAX APC LEM 1x12x1250ML MUP I;Ajax Detergente Pavimenti Limone 1250 ml;8718951607408;;;Ajax detersivo pavimenti Limone ultra sgrassante 1,25L ;Prodotto trovato su GS1
8;C&P;AJAX APC DISINF 1x12x950ML I;Ajax Detergente Pavimenti Disinfettante 950 ml;8718951627666;;;Ajax detersivo pavimenti Disinfettante multisuperficie senza candeggina 950 ml;Prodotto trovato su GS1
9;C&P;AJAX APC DISINF 1x12x1230ML I;Ajax Detergente Pavimenti Disinfettante 1230 ml;8718951627604;;;Ajax detersivo pavimenti Disinfettante multisuperficie senza candeggina 1,23 L;Prodotto trovato su GS1
10;C&P;AJAX APC DISINF 1x12x1250ML MUP I;Ajax Detergente Pavimenti Disinfettante 1250 ml;8718951627611;;;Ajax detersivo pavimenti Disinfettante multisuperficie senza candeggina 1,25 L;Prodotto trovato su GS1
